ticker,first_day_expected,days_expected,status
AAME,2011-10-17,1864,EMPTY
AAT,2011-10-17,1864,INCOMPLETE_NO_SUCCESS
AAV,2011-10-17,1864,EMPTY
ABAX,2011-10-17,1864,INCOMPLETE_NO_SUCCESS
ABCD,2011-10-17,1864,INCOMPLETE_NO_SUCCESS
ABCO,2011-10-17,1864,INCOMPLETE_NO_SUCCESS
ABR,2011-10-17,1864,EMPTY
ABTL,2011-10-17,1864,INCOMPLETE_NO_SUCCESS
ACAS,2011-10-17,1864,INCOMPLETE_NO_SUCCESS
ACAT,2011-10-17,1864,INCOMPLETE_NO_SUCCESS
