ticker,status,expected_months,downloaded_months,missing_months,extra_months,completeness_pct,missing_months_detail,extra_months_detail
ARDM,COMPLETE,1,1,0,0,100.0,"",""
QNGY,COMPLETE,11,11,0,0,100.0,"",""
PODC,COMPLETE,27,27,0,0,100.0,"",""
VSTS,COMPLETE,26,26,0,0,100.0,"",""
GRA,COMPLETE,33,33,0,0,100.0,"",""
KAMN,COMPLETE,64,64,0,0,100.0,"",""
TOCA,COMPLETE,18,18,0,0,100.0,"",""
VRN,COMPLETE,13,13,0,0,100.0,"",""
VQS,COMPLETE,27,27,0,0,100.0,"",""
RDCM,INCOMPLETE,83,82,1,0,98.79518072289156,"shape: (1,)
Series: '' [list[i64]]
[
	[2020, 12]
]",""
LUNG,COMPLETE,62,62,0,0,100.0,"",""
VERA,COMPLETE,55,55,0,0,100.0,"",""
OPOF,COMPLETE,80,80,0,0,100.0,"",""
DMYD,COMPLETE,7,7,0,0,100.0,"",""
ASIX,COMPLETE,83,83,0,0,100.0,"",""
DAOO,COMPLETE,12,12,0,0,100.0,"",""
BLNK,COMPLETE,83,83,0,0,100.0,"",""
AKP,COMPLETE,5,5,0,0,100.0,"",""
OLB,COMPLETE,64,64,0,0,100.0,"",""
OSRH,COMPLETE,10,10,0,0,100.0,"",""
CNNB,COMPLETE,46,46,0,0,100.0,"",""
CCLP,COMPLETE,64,64,0,0,100.0,"",""
SKYQ,COMPLETE,14,14,0,0,100.0,"",""
DCIX,COMPLETE,15,15,0,0,100.0,"",""
LSPD,COMPLETE,63,63,0,0,100.0,"",""
ELVT,COMPLETE,50,50,0,0,100.0,"",""
FORG,COMPLETE,24,24,0,0,100.0,"",""
GHRS,COMPLETE,54,54,0,0,100.0,"",""
CLUB,COMPLETE,21,21,0,0,100.0,"",""
TRAK,COMPLETE,25,25,0,0,100.0,"",""
MTRX,INCOMPLETE,83,81,2,0,97.59036144578313,"shape: (2,)
Series: '' [list[i64]]
[
	[2020, 12]
	[2021, 1]
]",""
CDLX,COMPLETE,83,83,0,0,100.0,"",""
DYAI,COMPLETE,80,80,0,0,100.0,"",""
MBVI,COMPLETE,2,2,0,0,100.0,"",""
JWS,COMPLETE,12,12,0,0,100.0,"",""
LITT,COMPLETE,23,23,0,0,100.0,"",""
SDST,COMPLETE,17,17,0,0,100.0,"",""
CERO,COMPLETE,22,22,0,0,100.0,"",""
ODV,COMPLETE,43,43,0,0,100.0,"",""
GREE,COMPLETE,51,51,0,0,100.0,"",""
PGRW,COMPLETE,27,27,0,0,100.0,"",""
CIXX,COMPLETE,27,27,0,0,100.0,"",""
RTW,COMPLETE,19,19,0,0,100.0,"",""
IMPP,COMPLETE,48,48,0,0,100.0,"",""
BYAH,COMPLETE,2,2,0,0,100.0,"",""
QUIK,COMPLETE,83,83,0,0,100.0,"",""
OESX,COMPLETE,83,83,0,0,100.0,"",""
HOTH,COMPLETE,82,82,0,0,100.0,"",""
ARD,INCOMPLETE,34,33,1,0,97.05882352941177,"shape: (1,)
Series: '' [list[i64]]
[
	[2020, 10]
]",""
ZVIA,COMPLETE,53,53,0,0,100.0,"",""
JBDI,COMPLETE,16,16,0,0,100.0,"",""
JXG,COMPLETE,12,12,0,0,100.0,"",""
SELF,INCOMPLETE,83,81,2,0,97.59036144578313,"shape: (2,)
Series: '' [list[i64]]
[
	[2020, 12]
	[2021, 1]
]",""
ALCO,INCOMPLETE,83,82,1,0,98.79518072289156,"shape: (1,)
Series: '' [list[i64]]
[
	[2020, 12]
]",""
LBRX,COMPLETE,3,3,0,0,100.0,"",""
SOC,COMPLETE,22,22,0,0,100.0,"",""
LPTH,COMPLETE,83,83,0,0,100.0,"",""
RZLT,COMPLETE,61,61,0,0,100.0,"",""
ARC,COMPLETE,71,71,0,0,100.0,"",""
DSWL,COMPLETE,83,83,0,0,100.0,"",""
CHNG,COMPLETE,40,40,0,0,100.0,"",""
UBNT,COMPLETE,8,8,0,0,100.0,"",""
INVA,COMPLETE,83,83,0,0,100.0,"",""
UA,COMPLETE,83,83,0,0,100.0,"",""
BBGI,COMPLETE,83,83,0,0,100.0,"",""
BBOT,COMPLETE,4,4,0,0,100.0,"",""
GORV,COMPLETE,23,23,0,0,100.0,"",""
FRW,COMPLETE,19,19,0,0,100.0,"",""
