ticker,status,days_expected,days_with_success,days_with_parquet_no_success,days_missing,first_day_expected,first_day_found,last_day_found,issue_summary
AVNW,INCOMPLETE_NO_SUCCESS,1864,0,1814,50,2011-10-17,2011-10-17,2018-12-31,1814 dias sin _SUCCESS
AVOL,INCOMPLETE_NO_SUCCESS,1047,0,269,778,2014-12-12,2014-12-12,2016-01-07,269 dias sin _SUCCESS
AVXL,INCOMPLETE_NO_SUCCESS,803,0,785,18,2015-11-23,2015-11-23,2018-12-31,785 dias sin _SUCCESS
AVXS,INCOMPLETE_NO_SUCCESS,744,0,567,177,2016-02-16,2016-02-16,2018-05-15,567 dias sin _SUCCESS
AWRE,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
AXGN,INCOMPLETE_NO_SUCCESS,1348,0,1314,34,2013-10-14,2013-10-14,2018-12-31,1314 dias sin _SUCCESS
AXL,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
AXLL,INCOMPLETE_NO_SUCCESS,1531,0,906,625,2013-01-29,2013-01-29,2016-08-31,906 dias sin _SUCCESS
AXR,MISSING,1590,0,0,1590,2012-11-05,,,TICKER_DIR_MISSING
AXTI,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
AYA,EMPTY,803,0,0,803,2015-11-23,,,Directorio vacio
AYN,MISSING,1864,0,0,1864,2011-10-17,,,TICKER_DIR_MISSING
AYTU,INCOMPLETE_NO_SUCCESS,287,0,281,6,2017-11-20,2017-11-20,2018-12-31,281 dias sin _SUCCESS
BAND,INCOMPLETE_NO_SUCCESS,287,0,280,7,2017-11-20,2017-11-20,2018-12-31,280 dias sin _SUCCESS
BANX,INCOMPLETE_NO_SUCCESS,1328,0,1293,35,2013-11-11,2013-11-11,2018-12-31,1293 dias sin _SUCCESS
BBBY,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BBCP,INCOMPLETE_NO_SUCCESS,16,0,16,0,2018-12-07,2018-12-07,2018-12-31,16 dias sin _SUCCESS
BBDC,EMPTY,45,0,0,45,2018-10-29,,,Directorio vacio
BBG,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BBGI,EMPTY,1858,0,0,1858,2011-10-25,,,Directorio vacio
BBRG,INCOMPLETE_NO_SUCCESS,1864,0,1661,203,2011-10-17,2011-10-17,2018-05-23,1661 dias sin _SUCCESS
BBSI,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BBW,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BCA,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BCBP,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BCML,INCOMPLETE_NO_SUCCESS,166,0,162,4,2018-05-10,2018-05-10,2018-12-31,162 dias sin _SUCCESS
BCR,INCOMPLETE_NO_SUCCESS,1864,0,1561,303,2011-10-17,2011-10-17,2017-12-28,1561 dias sin _SUCCESS
BCRX,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BCSF,INCOMPLETE_NO_SUCCESS,32,0,30,2,2018-11-15,2018-11-15,2018-12-31,30 dias sin _SUCCESS
BDE,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BDN,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BEAT,INCOMPLETE_NO_SUCCESS,1864,0,1815,49,2011-10-17,2011-10-17,2018-12-31,1815 dias sin _SUCCESS
BEAV,INCOMPLETE_NO_SUCCESS,1864,0,1381,483,2011-10-17,2011-10-17,2017-04-12,1381 dias sin _SUCCESS
BEBE,INCOMPLETE_NO_SUCCESS,1864,0,1553,311,2011-10-17,2011-10-17,2017-12-15,1553 dias sin _SUCCESS
BEE,INCOMPLETE_NO_SUCCESS,1864,0,1048,816,2011-10-17,2011-10-17,2015-12-11,1048 dias sin _SUCCESS
BELFA,EMPTY,1588,0,0,1588,2012-11-07,,,Directorio vacio
BELFB,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
BETR,INCOMPLETE_NO_SUCCESS,803,0,551,252,2015-11-23,2015-11-23,2018-01-30,551 dias sin _SUCCESS
BFC,EMPTY,43,0,0,43,2018-10-31,,,Directorio vacio
BFIN,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
BFS,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BFST,INCOMPLETE_NO_SUCCESS,187,0,182,5,2018-04-11,2018-04-11,2018-12-31,182 dias sin _SUCCESS
BGS,INCOMPLETE_NO_SUCCESS,1864,0,1814,50,2011-10-17,2011-10-17,2018-12-31,1814 dias sin _SUCCESS
BGSF,INCOMPLETE_NO_SUCCESS,798,0,776,22,2015-11-30,2015-11-30,2018-12-31,776 dias sin _SUCCESS
BH,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
BH.A,INCOMPLETE_NO_SUCCESS,166,0,162,4,2018-05-10,2018-05-10,2018-12-31,162 dias sin _SUCCESS
BHE,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
BHI,INCOMPLETE_NO_SUCCESS,1864,0,1439,425,2011-10-17,2011-10-17,2017-07-03,1439 dias sin _SUCCESS
BHR,INCOMPLETE_NO_SUCCESS,166,0,162,4,2018-05-10,2018-05-10,2018-12-31,162 dias sin _SUCCESS
BHVN,INCOMPLETE_NO_SUCCESS,287,0,279,8,2017-11-20,2017-11-20,2018-12-31,279 dias sin _SUCCESS
BIE,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BIN,INCOMPLETE_NO_SUCCESS,1864,0,1163,701,2011-10-17,2011-10-17,2016-06-01,1163 dias sin _SUCCESS
BIOA,INCOMPLETE_NO_SUCCESS,1348,0,1089,259,2013-10-14,2013-10-14,2018-02-08,1089 dias sin _SUCCESS
BIOD,INCOMPLETE_NO_SUCCESS,1864,0,1272,592,2011-10-17,2011-10-17,2016-11-03,1272 dias sin _SUCCESS
BIOP,INCOMPLETE_NO_SUCCESS,531,0,215,316,2016-12-12,2016-12-12,2017-10-18,215 dias sin _SUCCESS
BIVV,INCOMPLETE_NO_SUCCESS,491,0,275,216,2017-02-06,2017-02-06,2018-03-09,275 dias sin _SUCCESS
BJRI,INCOMPLETE_NO_SUCCESS,1864,0,1814,50,2011-10-17,2011-10-17,2018-12-31,1814 dias sin _SUCCESS
BKFS,INCOMPLETE_NO_SUCCESS,803,0,467,336,2015-11-23,2015-11-23,2017-09-29,467 dias sin _SUCCESS
BKMU,INCOMPLETE_NO_SUCCESS,1864,0,1584,280,2011-10-17,2011-10-17,2018-02-01,1584 dias sin _SUCCESS
BKYI,INCOMPLETE_NO_SUCCESS,287,0,279,8,2017-11-20,2017-11-20,2018-12-31,279 dias sin _SUCCESS
BLBD,INCOMPLETE_NO_SUCCESS,993,0,967,26,2015-03-02,2015-03-02,2018-12-31,967 dias sin _SUCCESS
BLDP,INCOMPLETE_NO_SUCCESS,1864,0,1816,48,2011-10-17,2011-10-17,2018-12-31,1816 dias sin _SUCCESS
BLFS,INCOMPLETE_NO_SUCCESS,1233,0,1201,32,2014-03-26,2014-03-26,2018-12-31,1201 dias sin _SUCCESS
BLIN,INCOMPLETE_NO_SUCCESS,1864,0,1807,57,2011-10-17,2011-10-17,2018-12-31,1807 dias sin _SUCCESS
BLMN,INCOMPLETE_NO_SUCCESS,1590,0,158,1432,2012-11-05,2012-11-05,2013-06-21,158 dias sin _SUCCESS
BLNK,INCOMPLETE_NO_SUCCESS,223,0,218,5,2018-02-20,2018-02-20,2018-12-31,218 dias sin _SUCCESS
BLT,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BLVD,INCOMPLETE_NO_SUCCESS,1212,0,671,541,2014-04-24,2014-04-24,2017-12-21,671 dias sin _SUCCESS
BLX,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BMR,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BMRA,INCOMPLETE_NO_SUCCESS,561,0,544,17,2016-10-31,2016-10-31,2018-12-31,544 dias sin _SUCCESS
BMRC,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BNCN,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BNED,INCOMPLETE_NO_SUCCESS,803,0,782,21,2015-11-23,2015-11-23,2018-12-31,782 dias sin _SUCCESS
BNGO,INCOMPLETE_NO_SUCCESS,43,0,41,2,2018-10-31,2018-10-31,2018-12-31,41 dias sin _SUCCESS
BNK,INCOMPLETE_NO_SUCCESS,1076,0,432,644,2014-11-03,2014-11-03,2016-07-21,432 dias sin _SUCCESS
BNTC,INCOMPLETE_NO_SUCCESS,803,0,768,35,2015-11-23,2015-11-23,2018-12-31,768 dias sin _SUCCESS
BOBE,INCOMPLETE_NO_SUCCESS,1864,0,1570,294,2011-10-17,2011-10-17,2018-01-11,1570 dias sin _SUCCESS
BOLD,INCOMPLETE_NO_SUCCESS,561,0,545,16,2016-10-31,2016-10-31,2018-12-31,545 dias sin _SUCCESS
