ticker,status,completeness_pct,daily_first,daily_last,daily_days,ticks_found,ticks_missing,issue
CRVS,COMPLETE,100.0,2016-03-23,2018-12-31,699,699,0,""
ASN,COMPLETE,100.0,2004-01-02,2007-10-05,947,947,0,""
OVLY,COMPLETE,100.0,2009-01-15,2018-12-31,1980,1980,0,""
TFIN,COMPLETE,100.0,2004-01-02,2009-03-24,918,918,0,""
CSC,COMPLETE,100.0,2004-01-02,2017-03-31,3335,3335,0,""
ENL,COMPLETE,100.0,2004-01-02,2015-07-01,2890,2890,0,""
MGS,COMPLETE,100.0,2004-01-02,2010-06-17,1499,1499,0,""
CT,COMPLETE,100.0,2004-01-02,2013-05-06,2349,2349,0,""
MBI,COMPLETE,100.0,2004-01-02,2018-12-31,3775,3775,0,""
DTSS,COMPLETE,100.0,2018-12-19,2018-12-31,8,8,0,""
PLUS,COMPLETE,100.0,2004-01-02,2018-12-31,3488,3488,0,""
GTIM,COMPLETE,100.0,2004-01-02,2018-12-31,3219,3219,0,""
EFOI,COMPLETE,100.0,2007-05-09,2018-12-31,2258,2258,0,""
NESR,COMPLETE,100.0,2017-06-05,2018-12-31,355,355,0,""
BOOM,COMPLETE,100.0,2004-01-02,2018-12-31,3753,3753,0,""
PLSE,COMPLETE,100.0,2016-05-18,2018-12-31,656,656,0,""
LFB,COMPLETE,100.0,2004-01-02,2007-04-20,830,830,0,""
CPHR,COMPLETE,100.0,2014-11-24,2016-12-08,503,503,0,""
DPM,COMPLETE,100.0,2005-12-02,2017-01-20,2802,2802,0,""
IBCP,COMPLETE,100.0,2004-01-02,2018-12-31,3752,3752,0,""
MBNAA,COMPLETE,100.0,2018-08-29,2018-10-19,37,37,0,""
PBIB,COMPLETE,100.0,2006-09-22,2018-06-18,2757,2757,0,""
WW,COMPLETE,100.0,2004-01-02,2009-12-31,1511,1511,0,""
OSPN,COMPLETE,100.0,2018-06-04,2018-12-31,146,146,0,""
JNC,COMPLETE,100.0,2004-01-02,2007-11-13,974,974,0,""
WCST,COMPLETE,100.0,2004-01-02,2017-07-14,333,333,0,""
DGF,COMPLETE,100.0,2004-01-02,2011-10-21,1967,1967,0,""
APEI,COMPLETE,100.0,2007-11-09,2018-12-31,2804,2804,0,""
SSRI,COMPLETE,100.0,2004-01-02,2017-08-02,3420,3420,0,""
LOCO,COMPLETE,100.0,2014-07-25,2018-12-31,1117,1117,0,""
BRL,COMPLETE,100.0,2004-01-02,2008-12-22,1253,1253,0,""
RYL,COMPLETE,100.0,2004-01-02,2015-09-30,2957,2957,0,""
DWSN,COMPLETE,100.0,2004-01-02,2018-12-31,3775,3775,0,""
JCC,COMPLETE,100.0,2004-01-02,2006-01-05,503,503,0,""
NUI,COMPLETE,100.0,2004-01-02,2004-11-30,230,230,0,""
MNRO,COMPLETE,100.0,2004-01-02,2018-12-31,3775,3775,0,""
JRN,COMPLETE,100.0,2004-01-02,2015-03-31,2830,2830,0,""
OCIP,COMPLETE,100.0,2013-10-04,2018-07-13,1199,1199,0,""
SSM,COMPLETE,100.0,2004-06-28,2010-05-03,869,869,0,""
RI,COMPLETE,100.0,2004-01-02,2007-04-11,823,823,0,""
FET,COMPLETE,100.0,2012-04-12,2018-12-31,1691,1691,0,""
LAS,COMPLETE,100.0,2010-12-10,2015-04-01,1079,1079,0,""
GSL,COMPLETE,100.0,2004-06-03,2018-12-31,3270,3270,0,""
LPCN,COMPLETE,100.0,2014-03-21,2018-12-31,1198,1198,0,""
CGEN,COMPLETE,100.0,2004-01-02,2018-12-31,3774,3774,0,""
BSFT,COMPLETE,100.0,2010-06-16,2018-02-01,1922,1922,0,""
RIOM,COMPLETE,100.0,2012-12-21,2015-04-01,572,572,0,""
ROV,COMPLETE,100.0,2004-01-02,2005-04-29,334,334,0,""
BWFG,COMPLETE,100.0,2014-05-15,2018-12-31,1143,1143,0,""
NSPR,COMPLETE,100.0,2013-04-11,2018-12-31,1442,1442,0,""
AAN.A,COMPLETE,100.0,2009-04-20,2010-12-10,333,333,0,""
BEC,COMPLETE,100.0,2004-01-02,2011-06-29,1887,1887,0,""
CBAN,COMPLETE,100.0,2004-01-05,2018-12-31,3212,3212,0,""
MNY,COMPLETE,100.0,2004-01-02,2004-07-07,128,128,0,""
PDC,COMPLETE,100.0,2004-01-05,2012-07-27,2158,2158,0,""
DRCT,COMPLETE,100.0,2004-01-02,2007-03-30,816,816,0,""
CCB,COMPLETE,100.0,2004-01-02,2018-12-31,492,492,0,""
PSA.A,COMPLETE,100.0,2004-01-02,2010-03-01,1550,1550,0,""
PAR,COMPLETE,100.0,2007-11-16,2018-12-31,2728,2728,0,""
BHD,COMPLETE,100.0,2004-01-02,2013-12-06,2501,2501,0,""
SCM,COMPLETE,100.0,2004-01-02,2018-12-31,2468,2468,0,""
WLS,COMPLETE,100.0,2004-01-02,2006-06-12,615,615,0,""
FSIC,COMPLETE,100.0,2014-04-16,2018-12-19,1179,1179,0,""
JNY,COMPLETE,100.0,2004-01-02,2014-04-08,2584,2584,0,""
RSTI,COMPLETE,100.0,2004-01-02,2016-11-07,3236,3236,0,""
GERN,COMPLETE,100.0,2004-01-02,2018-12-31,3775,3775,0,""
NCIT,COMPLETE,100.0,2005-10-24,2017-08-15,2973,2973,0,""
GFG,COMPLETE,100.0,2007-12-31,2009-08-21,415,415,0,""
NAB,COMPLETE,100.0,2004-01-02,2007-06-15,869,869,0,""
CBMX,COMPLETE,100.0,2004-01-02,2017-11-14,3437,3437,0,""
TZOO,COMPLETE,100.0,2004-01-02,2018-12-31,3775,3775,0,""
EMIS,COMPLETE,100.0,2004-01-02,2009-06-08,1367,1367,0,""
ICHR,COMPLETE,100.0,2016-12-09,2018-12-31,517,517,0,""
NUS,COMPLETE,100.0,2004-01-02,2018-12-31,3775,3775,0,""
SODA,COMPLETE,100.0,2010-11-03,2018-12-04,2036,2036,0,""
AKBA,COMPLETE,100.0,2014-03-20,2018-12-31,1205,1205,0,""
LZ,COMPLETE,100.0,2004-01-02,2011-09-16,1942,1942,0,""
VASC,COMPLETE,100.0,2004-01-02,2017-02-17,3306,3306,0,""
ANIX,COMPLETE,100.0,2018-10-01,2018-12-31,63,63,0,""
CRBP,COMPLETE,100.0,2015-04-16,2018-12-31,935,935,0,""
RSYS,COMPLETE,100.0,2004-01-02,2018-12-11,3762,3762,0,""
TRC,COMPLETE,100.0,2004-01-02,2018-12-31,3775,3775,0,""
PFB,COMPLETE,100.0,2004-01-02,2008-07-25,1149,1149,0,""
CAPN,COMPLETE,100.0,2014-11-13,2017-05-11,625,625,0,""
SWW,COMPLETE,100.0,2004-01-02,2007-01-30,774,774,0,""
TOA,COMPLETE,100.0,2004-11-09,2007-11-16,762,762,0,""
ZEP,COMPLETE,100.0,2007-11-01,2015-06-25,1925,1925,0,""
ALX,COMPLETE,100.0,2004-01-02,2018-12-31,3772,3772,0,""
